frame_id,tx,ty,tz,qx,qy,qz,qw,gt_tx,gt_ty,gt_tz,gt_qx,gt_qy,gt_qz,gt_qw
17,-0.818878,0.103638,5.68461,-0.00546432,-0.105359,-0.00287468,0.994415,-0.444287,-0.145947,5.28447,-0.00494535,-0.104893,-0.00145386,0.99447
18,-0.90119,0.104089,5.99551,-0.00151531,-0.111158,-0.00266719,0.993798,-0.495733,-0.163875,5.59079,-0.000890493,-0.110401,-0.0011693,0.993886
19,-0.983797,0.102259,6.2997,0.00200844,-0.117074,-0.00092478,0.993121,-0.555952,-0.182642,5.89296,0.00219412,-0.116174,9.53262e-05,0.993226
20,-1.0625,0.114773,6.61101,0.00460401,-0.123299,0.00164222,0.992357,-0.628932,-0.194658,6.22327,0.00511649,-0.122727,0.00367255,0.99242
21,-1.15306,0.124452,6.92926,0.00372137,-0.129315,0.00274848,0.991593,-0.705936,-0.191689,6.53234,0.00410903,-0.128544,0.00421195,0.991686
22,-1.25775,0.131932,7.25325,0.0010884,-0.135359,0.00131187,0.990795,-0.800729,-0.190825,6.87559,0.00171608,-0.135028,0.00290039,0.990836
23,-1.36582,0.139394,7.57963,-0.000895755,-0.141465,5.75456e-05,0.989943,-0.896322,-0.207338,7.18528,-0.000478201,-0.14093,0.00167194,0.990018
24,-1.47369,0.149108,7.89866,-0.000514708,-0.147423,4.00702e-05,0.989073,-0.989779,-0.223676,7.49264,0.000215314,-0.146728,0.00177975,0.989175
25,-1.58633,0.15434,8.21279,-0.000672901,-0.153004,-0.000348734,0.988225,-1.08638,-0.233712,7.80751,2.89896e-05,-0.152158,0.00171536,0.988355
26,-1.70707,0.151056,8.53157,-0.00487333,-0.159462,-0.00265959,0.987188,-1.20251,-0.248239,8.15343,-0.00429963,-0.159028,-0.0010535,0.987264
27,-1.82758,0.144091,8.84698,-0.00861301,-0.165547,-0.00349523,0.986158,-1.30703,-0.260398,8.46784,-0.00817953,-0.16486,-0.00172645,0.986282
28,-1.94023,0.146511,9.1622,-0.0100061,-0.171044,-0.000692575,0.985212,-1.40529,-0.263492,8.78135,-0.00960014,-0.170225,0.00111063,0.985358
29,-2.05917,0.155175,9.48142,-0.00947878,-0.177091,0.001898,0.984147,-1.51995,-0.269247,9.11395,-0.00877007,-0.176638,0.00432161,0.984227
30,-2.19081,0.168718,9.79711,-0.00904363,-0.182866,0.00330146,0.983091,-1.63304,-0.265091,9.41529,-0.00828272,-0.18243,0.00566946,0.983168
31,-2.34195,0.184667,10.1165,-0.00770124,-0.188835,-5.84772e-05,0.981979,-1.77932,-0.266752,9.73959,-0.00684078,-0.18895,0.00216643,0.981961
32,-2.49885,0.196848,10.4373,-0.00646456,-0.195119,-0.00236631,0.980755,-1.91535,-0.268673,10.0405,-0.00573342,-0.195167,0.000176812,0.980753
33,-2.64089,0.206969,10.7567,-0.00668803,-0.20159,-0.00113772,0.979447,-2.0425,-0.261071,10.3624,-0.00614275,-0.201497,0.00180116,0.979468
34,-2.79119,0.212905,11.0903,-0.0083604,-0.207709,0.00153801,0.978154,-2.17625,-0.25671,10.6888,-0.00764662,-0.20749,0.00444875,0.978197
35,-2.9598,0.224572,11.4298,-0.0101811,-0.213915,0.00207617,0.976797,-2.34183,-0.249994,11.0512,-0.00949796,-0.214265,0.00503106,0.976716
36,-3.14063,0.231591,11.776,-0.0116195,-0.221163,0.000111905,0.975168,-2.50578,-0.244947,11.3843,-0.0108278,-0.221244,0.00315191,0.975153
37,-3.32526,0.240814,12.1309,-0.0112079,-0.22828,0.000259602,0.973531,-2.67064,-0.232075,11.7273,-0.0104033,-0.228047,0.00330685,0.973589
38,-3.51934,0.246157,12.4805,-0.00996568,-0.235384,0.000806209,0.971851,-2.86037,-0.20915,12.1124,-0.00882108,-0.235733,0.0039283,0.97177
39,-3.72702,0.258553,12.8438,-0.00908464,-0.242668,0.000866467,0.970066,-3.04448,-0.191803,12.4661,-0.00798386,-0.242837,0.00404788,0.970026
40,-3.9481,0.269825,13.2171,-0.00891124,-0.250572,0.00220721,0.968054,-3.23528,-0.171886,12.8288,-0.00782846,-0.250525,0.00548021,0.968063
41,-4.1653,0.280508,13.5856,-0.00863796,-0.258935,0.00459484,0.965845,-3.45241,-0.151041,13.2327,-0.00739771,-0.259508,0.00817446,0.965678
42,-4.39845,0.290151,13.9507,-0.00690194,-0.267067,0.00617135,0.963634,-3.66707,-0.130177,13.5908,-0.00555438,-0.267572,0.00996704,0.96347
43,-4.6659,0.302289,14.3389,-0.0048628,-0.27578,0.00396846,0.9612,-3.90637,-0.11581,13.9307,-0.00352324,-0.275942,0.00793031,0.961135
44,-4.94695,0.305258,14.7112,-0.00442568,-0.284737,0.00179882,0.958594,-4.18146,-0.103971,14.3081,-0.00322197,-0.285691,0.00591089,0.958298
45,-5.23624,0.306215,15.104,-0.00519553,-0.293948,0.00150628,0.955806,-4.43721,-0.0497417,14.6677,-0.00395696,-0.294637,0.00611613,0.955582
46,-5.53105,0.31274,15.4928,-0.00620427,-0.303222,0.00218626,0.952897,-4.69771,-0.00146506,15.0278,-0.00495919,-0.303661,0.00687344,0.952743
47,-5.83693,0.321506,15.8635,-0.0066676,-0.312353,0.00277425,0.949939,-4.98898,0.0411908,15.3952,-0.00533018,-0.313572,0.00766771,0.949519
48,-6.15801,0.322697,16.2168,-0.00724803,-0.320957,0.00218905,0.947063,-5.26913,0.0705674,15.7061,-0.00574076,-0.322306,0.00716976,0.946591
49,-6.41418,0.335578,16.5127,-0.00795213,-0.32947,0.00167719,0.944131,-5.55719,0.102644,16.0049,-0.00626028,-0.330827,0.00644619,0.943649
50,-6.73579,0.337979,16.853,-0.00831681,-0.337958,0.000681764,0.941124,-5.87401,0.127315,16.3494,-0.00640977,-0.340115,0.00543089,0.940346
51,-7.05751,0.338862,17.1894,-0.00861117,-0.346038,7.4235e-06,0.938181,-6.16635,0.1538,16.6492,-0.00650589,-0.348101,0.00506216,0.937421
52,-7.38192,0.345172,17.5197,-0.00853229,-0.353798,-0.000528945,0.935283,-6.46713,0.173437,16.9251,-0.00633529,-0.355672,0.00471793,0.934578
53,-7.70986,0.349671,17.8501,-0.00846913,-0.361242,-0.0011569,0.932433,-6.80463,0.184169,17.2124,-0.0061541,-0.363965,0.00402559,0.931383
54,-8.04193,0.358281,18.1816,-0.00867637,-0.368271,-0.00197427,0.929676,-7.11212,0.18643,17.4788,-0.00635408,-0.371141,0.0033393,0.928549
55,-8.37971,0.364983,18.4942,-0.0089101,-0.37467,-0.00253275,0.927112,-7.4225,0.210075,17.7433,-0.00644126,-0.378082,0.00295372,0.925745
56,-8.71461,0.375225,18.8126,-0.00882056,-0.380906,-0.00280027,0.924568,-7.76517,0.236612,18.0248,-0.00632387,-0.385275,0.00272666,0.922776
57,-9.04796,0.387375,19.1208,-0.00909934,-0.386525,-0.00293826,0.922229,-8.07803,0.256953,18.2605,-0.00661281,-0.390663,0.00260089,0.920506
58,-9.38006,0.393418,19.4245,-0.00963182,-0.391532,-0.00356251,0.920107,-8.39426,0.277965,18.4827,-0.00700517,-0.395455,0.00207329,0.918456
59,-9.71385,0.401205,19.7221,-0.00992062,-0.395822,-0.00399635,0.918265,-8.70255,0.294688,18.7238,-0.00718736,-0.399669,0.00161376,0.91663
60,-10.0469,0.410856,20.0143,-0.00957228,-0.399513,-0.00426239,0.916668,-9.03951,0.313852,18.9825,-0.00686207,-0.403559,0.00142516,0.914927
61,-10.3754,0.418636,20.3041,-0.00952526,-0.402409,-0.00457218,0.915399,-9.3409,0.329473,19.2269,-0.00674565,-0.40631,0.00117722,0.91371
62,-10.7022,0.427264,20.5939,-0.00994407,-0.404528,-0.00461487,0.91446,-9.64566,0.344331,19.4516,-0.00709923,-0.40832,0.00103063,0.91281
63,-11.0235,0.435812,20.8776,-0.0101666,-0.405918,-0.00446926,0.913842,-9.97729,0.360643,19.6949,-0.00720724,-0.409664,0.00114291,0.912207
64,-11.3409,0.446378,21.1575,-0.010113,-0.406302,-0.00408908,0.913674,-10.2706,0.374709,19.9294,-0.00708212,-0.410037,0.00155406,0.91204
65,-11.5769,0.463394,21.3658,-0.00960357,-0.405876,-0.00391918,0.913869,-10.5628,0.388407,20.1573,-0.00659821,-0.409674,0.0016213,0.912207
66,-11.8903,0.471173,21.6484,-0.00875998,-0.404655,-0.00365111,0.91442,-10.8747,0.400384,20.4256,-0.005849,-0.408391,0.00200134,0.912786
67,-12.1973,0.475743,21.93,-0.00741696,-0.402692,-0.00300929,0.915301,-11.1785,0.4028,20.6098,-0.00444743,-0.40617,0.00262656,0.913783
68,-12.508,0.481882,22.2205,-0.00615609,-0.399643,-0.00228684,0.916647,-11.4769,0.406652,20.8323,-0.00317574,-0.402993,0.00330221,0.915191
69,-12.8185,0.489891,22.5201,-0.0058846,-0.395909,-0.00216989,0.918268,-11.8076,0.412212,21.0844,-0.00293361,-0.398653,0.0033595,0.917091
70,-13.1327,0.498971,22.8244,-0.00660474,-0.391411,-0.00297212,0.920187,-12.1023,0.419811,21.3361,-0.00368123,-0.394145,0.00250017,0.919037
71,-13.4424,0.5069,23.1299,-0.00723978,-0.385925,-0.00440502,0.922491,-12.428,0.425962,21.604,-0.00443099,-0.388175,0.00094184,0.921575
72,-13.7477,0.515602,23.4457,-0.00762282,-0.379543,-0.00581197,0.925124,-12.7191,0.428596,21.8425,-0.00487712,-0.381723,-0.000441092,0.924264
73,-14.0408,0.5227,23.7626,-0.00798292,-0.372399,-0.00630901,0.928017,-12.9992,0.430031,22.0937,-0.00545065,-0.374636,-0.00112382,0.927155
74,-14.3291,0.527579,24.0894,-0.00766504,-0.364777,-0.00664633,0.93104,-13.2985,0.432747,22.3725,-0.0051847,-0.366282,-0.00154467,0.930488
75,-14.6059,0.533939,24.4137,-0.00692055,-0.356182,-0.00664497,0.934367,-13.5577,0.438346,22.6443,-0.00444289,-0.357743,-0.00163967,0.933808
76,-14.878,0.539541,24.7416,-0.00600076,-0.346576,-0.00725144,0.937975,-13.8169,0.442768,22.8985,-0.00360633,-0.348328,-0.00243955,0.937363
77,-15.1446,0.548797,25.0752,-0.00481375,-0.336558,-0.00858135,0.941611,-14.0875,0.449259,23.1949,-0.00249922,-0.337532,-0.00399532,0.941302
78,-15.399,0.557536,25.4104,-0.00368039,-0.326423,-0.00963366,0.945167,-14.3269,0.453582,23.4599,-0.00156242,-0.327633,-0.00495105,0.944791
79,-15.6324,0.563886,25.7489,-0.00328828,-0.316025,-0.00879009,0.948705,-14.5468,0.459612,23.7503,-0.00123994,-0.317468,-0.00422535,0.948259
80,-15.8635,0.5675,26.0994,-0.00280099,-0.305107,-0.00840926,0.952277,-14.7814,0.464078,24.0726,-0.000763298,-0.305776,-0.00390978,0.952095
81,-16.0885,0.571863,26.4549,-0.00177913,-0.293684,-0.00876149,0.955861,-14.9902,0.465697,24.3664,2.38849e-07,-0.294556,-0.00430502,0.955624
82,-16.3124,0.572156,26.8222,-0.00111254,-0.281936,-0.00864723,0.959393,-15.1928,0.467683,24.668,0.00071037,-0.283157,-0.00426337,0.959064
83,-16.5272,0.576558,27.2024,-0.0012104,-0.269622,-0.0075418,0.962936,-15.4058,0.471444,25.0123,0.000403519,-0.270117,-0.00325268,0.962822
84,-16.7267,0.582029,27.5885,-0.0016451,-0.25725,-0.0061233,0.966324,-15.5872,0.476796,25.346,-0.000143862,-0.258083,-0.00202615,0.966121
85,-16.926,0.589725,27.9916,-0.0019685,-0.244752,-0.00536308,0.969569,-15.7645,0.481075,25.6833,-0.000688,-0.245923,-0.00148686,0.969288
86,-17.082,0.599555,28.3559,-0.00189662,-0.232078,-0.00549059,0.97268,-15.9536,0.484687,26.0626,-0.000764504,-0.232485,-0.00200549,0.972598
87,-17.2707,0.597339,28.7725,-0.0015497,-0.219427,-0.00687388,0.975603,-16.1241,0.485429,26.4,-0.00049018,-0.220286,-0.00335858,0.975429
88,-17.4475,0.603669,29.1954,-0.00143336,-0.206778,-0.00778144,0.978356,-16.2774,0.489677,26.763,-0.000672808,-0.208096,-0.00441014,0.978098
89,-17.5995,0.607617,29.6125,-0.00171095,-0.194472,-0.00692144,0.980882,-16.4291,0.496518,27.1741,-0.00109902,-0.194962,-0.00350043,0.980804
90,-17.7436,0.614582,30.0455,-0.00190409,-0.182389,-0.00567722,0.983208,-16.5553,0.505285,27.5632,-0.00142117,-0.183162,-0.00246846,0.983079
91,-17.886,0.618316,30.4849,-0.00184202,-0.169996,-0.00620074,0.985424,-16.6773,0.516574,27.9609,-0.0014462,-0.171129,-0.00301002,0.985243
92,-18.0253,0.62736,30.9327,-0.00155147,-0.157718,-0.00727464,0.987456,-16.8041,0.529653,28.4075,-0.00132757,-0.158044,-0.00441066,0.987421
93,-18.145,0.633318,31.3808,-0.00194816,-0.14584,-0.00786243,0.989275,-16.9089,0.539773,28.827,-0.00189864,-0.146473,-0.00503225,0.9892
